City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tupiza,-21.45,-65.72,283.04,37,0,1.4,BO,1596333399
Rikitea,-23.12,-134.97,296.37,78,0,2.32,PF,1596333339
Los Llanos de Aridane,28.66,-17.92,295.15,83,96,5.7,ES,1596333108
Mataura,-46.19,168.86,284.96,84,100,0.69,NZ,1596333400
Saskylakh,71.92,114.08,295.18,40,100,3.88,RU,1596333400
Bredasdorp,-34.53,20.04,282.15,93,0,2.6,ZA,1596333400
Lompoc,34.64,-120.46,293.71,64,0,6.2,US,1596333400
Touros,-5.2,-35.46,296.15,94,40,3.6,BR,1596333401
Hilo,19.73,-155.09,301.15,61,90,2.1,US,1596333401
Port Blair,11.67,92.75,301.76,79,100,10.59,IN,1596333126
Narsaq,60.92,-46.05,282.15,70,99,1.5,GL,1596333196
Khandyga,62.67,135.6,297.98,36,0,1.62,RU,1596333402
Bluff,-46.6,168.33,284.04,89,100,4.41,NZ,1596333103
Gravdal,68.12,13.5,286.44,81,82,2.24,NO,1596333402
Krasnorechenskiy,44.63,135.35,301.62,54,99,1.29,RU,1596333402
Aliquippa,40.64,-80.24,296.15,88,90,1.5,US,1596333403
Hithadhoo,-0.6,73.08,301.49,73,21,5.03,MV,1596333403
Umm Kaddadah,13.6,26.69,296.48,79,100,3.16,SD,1596333403
Kartaly,53.05,60.65,292.87,57,0,2.7,RU,1596333403
Prieska,-29.66,22.75,283.39,42,0,1.11,ZA,1596333404
Teguise,29.06,-13.56,296.15,83,0,4.6,ES,1596333404
Dingle,11,122.67,301.63,73,100,2,PH,1596333404
Olafsvik,64.89,-23.71,281.84,90,100,8.29,IS,1596333404
La Ronge,55.1,-105.28,296.15,46,5,2.6,CA,1596333405
Wawa,9.9,4.42,296.13,88,93,2.85,NG,1596333405
Cartagena del Chairá,1.33,-74.84,294.76,96,17,1.32,CO,1596333405
Atuona,-9.8,-139.03,299.55,74,53,6.93,PF,1596333405
Kaitangata,-46.28,169.85,286.48,71,92,0.45,NZ,1596333394
Ekuvukeni,-28.47,30.16,282.81,47,0,1.17,ZA,1596333406
Byron Bay,-28.65,153.62,293.15,60,1,2.6,AU,1596333165
Thompson,55.74,-97.86,294.15,46,20,2.6,CA,1596333406
Labuhan,-6.88,112.21,300.59,66,1,3.43,ID,1596333398
Tabuk,17.42,121.44,301.9,71,100,0.97,PH,1596333407
Kita,13.03,-9.49,296.29,96,83,1.71,ML,1596333407
Upernavik,72.79,-56.15,278.79,69,0,5.94,GL,1596333407
Yārāda,17.65,83.27,301.15,83,40,1,IN,1596333407
Ostrovnoy,68.05,39.51,283.79,89,100,7.21,RU,1596333408
Bengkulu,-3.8,102.27,299.95,72,97,0.99,ID,1596333351
Geraldton,-28.77,114.6,286.15,76,0,6.7,AU,1596333275
Sørland,67.67,12.69,287.47,81,1,3.4,NO,1596333408
Ndélé,8.41,20.65,294.62,94,100,0.71,CF,1596333408
Homer,59.64,-151.55,287.15,93,90,1.5,US,1596333409
Ponta do Sol,32.67,-17.1,293.71,61,2,1.9,PT,1596333409
Hobart,-42.88,147.33,286.48,47,75,7.7,AU,1596333409
Bandarbeyla,9.49,50.81,298.69,65,95,11.51,SO,1596333409
Castro,-24.79,-50.01,284.17,90,0,1.5,BR,1596333410
Aitape,-3.14,142.35,299.28,87,88,2.11,PG,1596333410
Calamar,10.25,-74.91,299.76,88,96,1.4,CO,1596333410
Cherskiy,68.75,161.3,282.44,65,98,4.29,RU,1596333138
Jamestown,42.1,-79.24,293.15,88,75,2.1,US,1596333178
Longyearbyen,78.22,15.64,282.15,87,20,0.5,SJ,1596333367
Kerrobert,51.92,-109.13,298.15,38,20,3.6,CA,1596333411
Port Moresby,-9.44,147.18,302.15,54,40,7.7,PG,1596333411
Rawson,-43.3,-65.1,283.88,55,32,6.63,AR,1596333412
Ribeira Grande,38.52,-28.7,294.78,67,1,3.34,PT,1596333412
Porto-Novo,6.5,2.6,298.15,88,40,5.1,BJ,1596333412
Tuktoyaktuk,69.45,-133.04,285.15,87,75,7.2,CA,1596333413
Abhā,18.22,42.51,292.15,93,87,2.6,SA,1596333413
Atasū,48.68,71.64,295.02,44,23,5.96,KZ,1596333413
Norman Wells,65.28,-126.83,304.15,35,20,1.5,CA,1596333413
Dikson,73.51,80.55,282.87,82,19,8.76,RU,1596333413
Provideniya,64.38,-173.3,283.04,59,20,4.34,RU,1596333414
Hatillo,18.49,-66.83,299.26,92,82,5.2,PR,1596333414
Arraial do Cabo,-22.97,-42.03,293.57,76,8,5.66,BR,1596333332
New Norfolk,-42.78,147.06,286.48,59,91,1.34,AU,1596333414
Isangel,-19.55,169.27,297.15,78,90,7.7,VU,1596333415
Davila,18.47,120.58,301.15,83,90,2.1,PH,1596333415
Ruidoso,33.33,-105.67,289.15,72,20,5.7,US,1596333415
Carnarvon,-24.87,113.63,292.15,72,0,7.2,AU,1596333354
Vila Franca do Campo,37.72,-25.43,293.15,72,40,2.6,PT,1596333416
Khovd,48.01,91.64,287.94,50,0,2.7,MN,1596333416
Thinadhoo,0.53,72.93,301.27,78,43,4.92,MV,1596333416
Fort Nelson,58.81,-122.7,296.15,56,75,5.1,CA,1596333224
Lagoa,39.05,-27.98,294.77,70,0,3.76,PT,1596333417
Faanui,-16.48,-151.75,299.25,79,0,5.08,PF,1596333136
Westport,41.14,-73.36,300.15,69,1,4.1,US,1596333196
São Filipe,14.9,-24.5,298.4,84,0,1.45,CV,1596333126
Ahipara,-35.17,173.17,287.31,89,100,6.84,NZ,1596333376
Vaini,-21.2,-175.2,296.15,78,75,4.6,TO,1596333418
Port Macquarie,-31.43,152.92,292.04,66,0,0.45,AU,1596333418
Esperance,-33.87,121.9,283.15,87,100,7.2,AU,1596333126
Barrow,71.29,-156.79,276.15,73,90,4.1,US,1596333358
Okhotsk,59.38,143.3,291.47,54,0,3.58,RU,1596333419
Qaanaaq,77.48,-69.36,277.49,70,100,2.84,GL,1596333419
Half Moon Bay,37.46,-122.43,296.15,87,90,3.15,US,1596333419
Mayumba,-3.43,10.66,295.41,84,87,2.71,GA,1596333419
Nouadhibou,20.93,-17.03,297.15,83,20,5.7,MR,1596333420
Hutchinson,38.06,-97.93,299.15,61,1,1.5,US,1596333198
Amherstburg,42.12,-83.05,295.15,94,90,2.1,CA,1596333420
Cedar City,37.68,-113.06,308.15,4,1,4.6,US,1596333252
Butterworth,5.4,100.36,300.15,88,20,2.1,MY,1596333421
Iqaluit,63.75,-68.51,287.15,76,75,1.5,CA,1596333408
Huesca,42.14,-0.41,292.59,77,3,8.7,ES,1596333421
Yangi Marg`ilon,40.43,71.72,296.15,49,0,2.1,UZ,1596333421
Butaritari,3.07,172.79,301.95,78,11,8.13,KI,1596333421
Wucheng,29.6,118.17,303.71,94,98,1.27,CN,1596333422
Lucknow,26.85,80.92,301.15,88,75,2.05,IN,1596333422
San Patricio,19.22,-104.7,301.15,74,75,1.15,MX,1596333422
Inhambane,-23.86,35.38,290.02,78,25,2.85,MZ,1596333422
Proddatūr,14.73,78.55,301.06,66,100,6.41,IN,1596333423
Saint Paul Harbor,57.79,-152.41,288.15,87,75,3.1,US,1596333423
Birao,10.28,22.79,294.6,96,100,3.24,CF,1596333423
Ilulissat,69.22,-51.1,280.15,87,42,1.5,GL,1596333423
Bilibino,68.05,166.44,281.98,75,100,0.67,RU,1596333127
Shingū,33.73,135.98,300.15,88,75,3.1,JP,1596333424
Khatanga,71.97,102.5,291.14,81,100,2.73,RU,1596333424
Jalu,29.03,21.55,297.85,70,0,5.05,LY,1596333183
Chui,-33.7,-53.46,284.16,87,67,3.32,UY,1596333425
Paranaíba,-19.68,-51.19,294.02,45,0,2.46,BR,1596333425
Amos,48.57,-78.12,294.15,83,20,1,CA,1596333426
Zaykovo,57.56,62.76,291.07,92,100,3.99,RU,1596333426
Belaya Gora,68.53,146.42,292.78,43,9,1.27,RU,1596333426
Bethel,41.37,-73.41,299.15,57,1,3.6,US,1596333426
Dwārka,22.24,68.97,302.9,78,15,2.36,IN,1596333427
Balikpapan,-1.27,116.83,300.15,88,40,2.1,ID,1596333185
General Roca,-39.03,-67.58,284.15,57,0,5.7,AR,1596333427
Karratha,-20.74,116.85,299.46,20,0,1.52,AU,1596333428
Somerset East,-32.72,25.59,284.83,33,0,2.79,ZA,1596333428
Leshukonskoye,64.9,45.76,283.13,96,100,3.32,RU,1596333162
Inyonga,-6.72,32.07,286.31,65,24,2.21,TZ,1596333428
Clyde River,70.47,-68.59,278.15,100,75,1,CA,1596333429
Riyadh,24.69,46.72,309.15,22,88,1.5,SA,1596333205
Hunchun,42.87,130.36,295.55,87,100,2,CN,1596333429
Starobaltachevo,56,55.92,291.2,77,90,6.71,RU,1596333429
Pisco,-13.7,-76.22,289.15,82,0,5.1,PE,1596333137
Baillif,16.02,-61.75,300.15,83,73,2.1,GP,1596333430
Yangliuqing,39.14,117,301.15,69,0,2,CN,1596333430
Necochea,-38.55,-58.74,282.59,85,100,5.81,AR,1596333432
Sinnamary,5.38,-52.95,299.06,87,100,3.22,GF,1596333432
Avera,33.19,-82.53,302.15,58,1,1.5,US,1596333432
Rocha,-34.48,-54.33,283.66,83,100,3.96,UY,1596333136
Port Elizabeth,-33.92,25.57,285.15,93,0,4.1,ZA,1596333346
Oxford,51.75,-1.26,286.15,76,0,1.5,GB,1596333356
Pyrzyce,53.15,14.89,291.48,67,55,4.1,PL,1596333433
Tungawan,7.51,122.37,301.55,69,85,1.09,PH,1596333434
Hong Kong,22.29,114.16,302.04,83,100,4.92,HK,1596333230
Saldanha,-33.01,17.94,290.27,50,0,4.82,ZA,1596333434
Camopi,3.17,-52.32,296.28,95,100,1.58,GF,1596333434
Ji’an,27.12,114.98,304.84,60,0,3.05,CN,1596333286
Grindavik,63.84,-22.43,283.15,93,90,6.2,IS,1596333435
Zarubino,42.63,131.09,293.06,97,99,3.1,RU,1596333435
Saint-Philippe,-21.36,55.77,293.15,72,90,4.1,RE,1596333435
San Cristobal,7.77,-72.22,292.51,88,24,1.97,VE,1596333155
Wilmington,34.23,-77.94,300.37,88,1,1.5,US,1596333222
Chase,50.82,-119.69,304.26,45,0,1.24,CA,1596333436
Upington,-28.45,21.26,284.15,34,0,0.5,ZA,1596333437
Nikel,69.41,30.22,281.15,93,100,3.6,RU,1596333437
Codrington,-38.27,141.97,286.11,72,100,4.58,AU,1596333424
Shelburne,44.08,-80.2,297.15,57,20,2.6,CA,1596333172
Torbay,47.67,-52.73,288.71,100,90,1,CA,1596333437
Iranshahr,27.2,60.68,306.87,35,0,2.47,IR,1596333438
Dessie,11.13,39.63,284.63,90,94,1.89,ET,1596333438
Mossamedes,-15.2,12.15,292.23,75,0,1.63,AO,1596333438
Vostok,46.49,135.88,300.19,55,0,2.81,RU,1596333438
Zehdenick,52.98,13.33,294.26,60,100,1.87,DE,1596333439
Paamiut,61.99,-49.67,280.71,97,100,5.95,GL,1596333439
Marabu,4.41,114.01,302.15,83,20,1,MY,1596333439
Guanare,9.04,-69.74,296.22,88,97,1.27,VE,1596333439
Kupang,-10.17,123.58,302.15,39,20,7.2,ID,1596333440
Artyom,40.47,50.33,299.15,69,20,3.1,AZ,1596333440
Canby,45.26,-122.69,300.37,47,0,0.89,US,1596333440
Killybegs,54.63,-8.45,283.71,95,69,0.45,IE,1596333440
Baykit,61.67,96.37,295.34,60,60,0.43,RU,1596333441
Tornio,65.85,24.15,282.15,100,20,1.5,FI,1596333441
Salinas,36.68,-121.66,294.82,64,1,6.7,US,1596333423
San Quintín,30.48,-115.95,297.52,69,1,1.99,MX,1596333352
Yellowknife,62.46,-114.35,299.15,47,75,6.2,CA,1596333246
Tam Ky,15.57,108.48,303.15,66,75,2.6,VN,1596333442
Eston,51.15,-108.75,298.15,38,20,3.6,CA,1596333442
Ukiah,39.15,-123.21,306.15,19,1,4.1,US,1596333437
Puerto Ayora,-0.74,-90.35,293.15,93,96,0.45,EC,1596333443
Padang,-0.95,100.35,300.82,70,99,1.51,ID,1596333443
Muros,42.78,-9.06,288.71,93,20,2.6,ES,1596333197
Souillac,-20.52,57.52,294.15,88,75,8.2,MU,1596333426
Rehoboth,-23.32,17.08,281.29,49,0,3.09,NA,1596333444
Veinticinco de Mayo,-35.43,-60.17,288.15,83,100,1.34,AR,1596333444
Ancud,-41.87,-73.82,281.48,87,20,5.1,CL,1596333444
Fortuna,40.6,-124.16,292.59,76,19,0.89,US,1596333348
Zhanakorgan,43.91,67.25,298.37,38,4,1.28,KZ,1596333445
Atamanskaya,46.18,39.64,290.29,64,0,1.82,RU,1596333445
Bhitarwār,25.8,78.12,304.25,66,8,4.13,IN,1596333445
Huarmey,-10.07,-78.15,288.9,86,7,3.63,PE,1596333446
Antofagasta,-23.65,-70.4,287.15,76,90,4.6,CL,1596333446
Les Cayes,18.2,-73.75,300.02,84,100,1.87,HT,1596333446
Dorado,18.46,-66.27,301.15,83,40,2.6,PR,1596333446
Borogontsy,62.67,131.17,298.24,32,0,2.35,RU,1596333447
Mayo,38.89,-76.51,301.48,74,75,3.6,US,1596333447
Hamilton,39.18,-84.53,296.15,94,90,3.1,US,1596333150
Laas,46.62,10.7,289.82,93,75,2.6,IT,1596333192
Qaqortoq,60.72,-46.03,282.15,70,98,1.5,GL,1596333448
Ust-Nera,64.57,143.2,294.7,26,89,1.37,RU,1596333448
Paita,-5.09,-81.11,290.49,83,0,6.88,PE,1596333171
Nishihara,26.18,127.76,305.15,70,75,7.2,JP,1596333448
Vila Velha,-20.33,-40.29,292.15,93,90,4.1,BR,1596333369
Gunjur,13.2,-16.73,299.15,100,75,4.5,GM,1596333449
Sept-Îles,50.2,-66.38,293.71,72,5,3.1,CA,1596333449
Bundaberg,-24.85,152.35,294.15,52,90,6.2,AU,1596333449
Mopipi,-21.18,24.88,284.64,50,0,4.52,BW,1596333450
Springbok,-29.66,17.89,286.44,32,0,3.8,ZA,1596333450
Haines Junction,60.75,-137.51,292.42,43,70,5.51,CA,1596333192
Soyo,-6.13,12.37,295.59,82,96,3.13,AO,1596333450
Tuatapere,-46.13,167.68,284.81,88,100,2.75,NZ,1596333450
Lubao,14.92,120.55,300.93,88,90,1.5,PH,1596333451
Nanortalik,60.14,-45.24,280.91,94,100,7.33,GL,1596333451
Rognan,67.1,15.39,286.48,95,0,1.85,NO,1596333451
Mananjary,-21.22,48.33,291.91,86,28,3.31,MG,1596333451
Lüderitz,-26.65,15.16,292.15,25,0,3.6,NA,1596333161
Saint-Joseph,-21.37,55.62,293.15,72,90,4.1,RE,1596333452
Faya,18.39,42.45,292.15,93,78,2.6,SA,1596333452
Antalaha,-14.9,50.28,293.08,87,21,4.72,MG,1596333302
Olinda,-8.01,-34.86,299.15,78,40,4.1,BR,1596333453
Sarankhola,22.31,89.79,303.37,76,92,1.87,BD,1596333453
Ørje,59.48,11.66,288.15,84,100,1.99,NO,1596333453
Vardø,70.37,31.11,282.75,87,100,5.47,NO,1596333454
Nabire,-3.37,135.48,298.25,88,100,1.3,ID,1596333454
Airai,-8.93,125.41,294.78,38,0,1.92,TL,1596333454
Cabo San Lucas,22.89,-109.91,307.15,62,5,7.7,MX,1596333454
The Pas,53.83,-101.25,296.15,40,1,0.93,CA,1596333454
San Miguel de Tucumán,-26.82,-65.22,286.15,66,0,3.1,AR,1596333455
Plouzané,48.38,-4.62,288.15,87,90,1.5,FR,1596333455
Tiksi,71.69,128.87,282.84,68,49,1.86,RU,1596333455
Poronaysk,49.22,143.12,293.13,83,94,7.06,RU,1596333455
Tupik,54.43,119.93,289.65,93,100,2.99,RU,1596333456
Nova Olinda do Norte,-3.89,-59.09,298.23,57,60,0.68,BR,1596333456
George Town,5.41,100.34,300.15,88,20,2.1,MY,1596333456
Darhan,49.49,105.92,289.23,77,100,4.16,MN,1596333456
Gao,16.64,1.64,303.48,46,52,6.23,ML,1596333457
Fukuechō,32.69,128.84,302.15,83,40,3.1,JP,1596333457
Ormara,25.21,64.64,302.25,81,100,3.67,PK,1596333183
Evans,33.53,-82.13,304.15,43,1,1.5,US,1596333457
Hay River,60.82,-115.8,304.15,33,20,6.2,CA,1596333457
Petropavlovsk-Kamchatskiy,53.05,158.65,295.15,40,93,6,RU,1596333458
Aizawl,23.73,92.72,296.15,100,90,0.13,IN,1596333458
Lahat,-3.8,103.53,300.72,59,100,0.65,ID,1596333458
Le Port,-20.94,55.29,293.15,87,20,2.1,RE,1596333458
Port Hedland,-20.32,118.57,301.15,10,0,4.6,AU,1596333459
Nyurba,63.28,118.33,295.7,49,0,2.32,RU,1596333459
Lebu,-37.62,-73.65,283.26,94,23,3.91,CL,1596333355
Oranjemund,-28.55,16.43,292.44,27,0,2.18,NA,1596333459
Myaundzha,63.05,147.19,291.52,32,0,1.06,RU,1596333460
Elko,41,-115.5,310.93,2,50,0.45,US,1596333460
Alice Springs,-23.7,133.88,297.04,13,0,4.1,AU,1596333326
Laguna,38.42,-121.42,307.15,26,1,4.1,US,1596333460
Shakawe,-18.37,21.85,281.68,45,0,1.97,BW,1596333460
Constanța,44.18,28.65,294.26,60,82,3.6,RO,1596333461
Lufilufi,-13.87,-171.6,302.15,79,75,3.1,WS,1596333461
Adrar,20.5,-10.07,307.95,11,0,1.5,MR,1596333461
Saint George,37.1,-113.58,315.15,6,1,6.7,US,1596333259
Kholtoson,50.3,103.31,289.23,58,100,2.28,RU,1596333462
Japura,-0.32,102.35,299.8,79,99,1.14,ID,1596333462
Aklavik,68.22,-135.01,290.15,67,40,7.2,CA,1596333462
Poum,-20.23,164.02,294.17,70,1,9.99,NC,1596333408
Katsuura,35.13,140.3,303.71,74,20,2.1,JP,1596333382
Puro,12.48,123.38,302.35,68,100,1.74,PH,1596333463
Acapulco de Juárez,16.86,-99.89,303.15,79,75,4.6,MX,1596333463
Mahendranagar,28.92,80.33,301.62,73,8,0.97,NP,1596333463
Jinchang,38.5,102.17,299.25,15,99,2.67,CN,1596333464
Ternate,0.8,127.4,301.11,73,59,1.93,ID,1596333464
Nokaneng,-19.67,22.27,283.52,45,0,3.27,BW,1596333464
Plettenberg Bay,-34.05,23.37,293.03,26,0,3.54,ZA,1596333464
Anori,-3.77,-61.64,297.9,60,100,0.22,BR,1596333465
The Valley,18.22,-63.06,301.48,78,20,2.1,AI,1596333465
Broome,42.25,-75.83,297.15,53,90,1.5,US,1596333465
Flin Flon,54.77,-101.86,293.49,50,0,1.03,CA,1596333465
Ilhabela,-23.78,-45.36,292.14,84,28,3.47,BR,1596333466
Santa Isabel Rio Negro,-0.41,-65.02,297.83,77,30,0.72,BR,1596333466
Raja,8.46,25.68,293.97,97,100,1.94,SS,1596333402
Deputatsky,69.3,139.9,289.35,51,4,2.35,RU,1596333447
Voyvozh,62.89,54.96,283.36,98,100,1.23,RU,1596333467
Arlit,18.74,7.39,304.19,45,6,1.98,NE,1596333467
Chokurdakh,70.63,147.92,288.82,52,95,2.35,RU,1596333467
Baracoa,20.35,-74.5,300.33,83,100,3.48,CU,1596333467
Goderich,43.75,-81.72,297.04,75,98,0.89,CA,1596333426
Khani,41.96,42.96,295.15,94,90,1,GE,1596333376
Ibotirama,-12.19,-43.22,294.16,58,5,2.47,BR,1596333468
Jagodina,43.98,21.26,288.15,100,0,0.5,RS,1596333468
Safi,32.3,-9.24,296.78,68,0,6.2,MA,1596333450
Letlhakane,-21.42,25.58,283.66,54,0,4.01,BW,1596333469
Dawlatabad,36.41,64.91,297.04,28,0,0.6,AF,1596333469
Mapiripán,2.89,-72.13,297.69,75,95,1.69,CO,1596333469
Saint-Pierre,-21.34,55.48,293.15,72,90,4.1,RE,1596333469
Namwala,-15.75,26.44,280.04,68,0,1.98,ZM,1596333470
Murmashi,68.82,32.81,280.15,100,75,1.28,RU,1596333470
Husavik,66.04,-17.34,284.15,93,20,1,IS,1596333441
Dharmadam,11.78,75.43,297.78,90,100,2.64,IN,1596333470
Mogadishu,2.04,45.34,298.12,77,24,7.74,SO,1596333444
Atar,20.52,-13.05,309.49,24,0,3.79,MR,1596333471
Manavālakurichi,8.13,77.3,299.15,88,75,1,IN,1596333471
Margate,51.38,1.39,290.93,67,13,1.79,GB,1596333472
Cidreira,-30.18,-50.21,288.7,74,0,4.5,BR,1596333472
Puerto Madryn,-42.77,-65.04,284.91,47,47,8.52,AR,1596333472
Chok Chai,14.73,102.17,299.15,88,75,2.6,TH,1596333472
Çermik,38.14,39.45,295.15,40,0,3.1,TR,1596333472
Salalah,17.02,54.09,300.15,94,20,1,OM,1596333291
Otane,-39.88,176.63,284.82,76,100,3.13,NZ,1596333473
Vasterhaninge,59.12,18.1,289.82,52,87,3.72,SE,1596333473
Gualaca,8.53,-82.3,294.26,85,43,0.89,PA,1596333473
Scharbeutz,54.03,10.75,292.59,86,99,1.34,DE,1596333474
Pevek,69.7,170.31,276.02,89,90,2.48,RU,1596333474
Hohhot,40.81,111.65,294.15,73,9,2,CN,1596333474
Ribeirão Branco,-24.22,-48.77,285.82,95,69,2.26,BR,1596333475
Yar-Sale,66.83,70.83,288.5,83,18,4.15,RU,1596333475
Itapirapuã,-15.82,-50.61,293.42,45,1,2.79,BR,1596333475
San Jose,37.34,-121.89,299.26,47,75,5.1,US,1596333462
Port Hardy,50.7,-127.42,297.15,47,75,5.1,CA,1596333364
Todos Santos,23.45,-110.22,300.37,74,0,1.34,MX,1596333476
Nikolskoye,59.7,30.79,285.93,87,95,2,RU,1596333476
Ossora,59.24,163.07,291.3,56,2,4.42,RU,1596333476
Kokopo,-4.35,152.26,301.55,72,99,5.33,PG,1596333477
Jiuquan,39.74,98.52,298.12,16,8,5.17,CN,1596333477
Umeå,63.83,20.26,287.15,93,39,3.6,SE,1596333477
Vanavara,60.34,102.28,295.17,48,99,4.2,RU,1596333477
Maputo,-25.97,32.59,289.26,100,0,1.98,MZ,1596333478
Nambucca Heads,-30.65,153,292.04,68,0,4.1,AU,1596333478
Asău,46.43,26.4,284.82,90,17,1.07,RO,1596333475
Vanimo,-2.67,141.3,297.72,89,100,3.14,PG,1596333478
Coquimbo,-29.95,-71.34,284.15,87,10,1,CL,1596333479
Santa Quitéria do Maranhão,-3.52,-42.55,295.75,89,1,1.67,BR,1596333229
Iisalmi,63.56,27.19,287.15,93,20,1,FI,1596333479
Aquidauana,-20.47,-55.79,298.14,35,0,4.4,BR,1596333479
Ponta Delgada,37.73,-25.67,293.15,72,40,2.6,PT,1596333479
Havøysund,71,24.66,282.15,87,83,4.1,NO,1596333480
Kununurra,-15.77,128.73,300.15,15,3,3.6,AU,1596333480
Alofi,-19.06,-169.92,298.15,61,100,5.1,NU,1596333435
Beringovskiy,63.05,179.32,283.47,80,100,5.52,RU,1596333190
Noumea,-22.28,166.46,295.15,49,90,5.1,NC,1596333474
Qui Nhon,13.77,109.23,304.15,62,95,4.73,VN,1596333481
Venkatagiri,13.97,79.58,299.15,88,40,3.23,IN,1596333481
Tateyama,34.98,139.87,303.15,78,40,4.6,JP,1596333481
Miyazu,35.53,135.18,300.15,83,75,1,JP,1596333482
Mehamn,71.04,27.85,282.36,86,91,2.17,NO,1596333482
Miyako,39.64,141.95,297.32,76,100,4.56,JP,1596333482
Ntcheu,-14.82,34.64,284.34,93,24,2.32,MW,1596333482
Ust-Kuyga,70.02,135.6,288.39,50,0,4.1,RU,1596333483
Caravelas,-17.71,-39.25,293.37,85,0,2.48,BR,1596333404
Esmeralda,21.85,-78.12,299.16,88,100,2.77,CU,1596333483
Amahai,-3.33,128.92,298.68,84,95,5.7,ID,1596333484
Lingao,19.91,109.69,303.5,71,91,3.78,CN,1596333484
Marshall,34.38,-86.33,299.26,36,5,1.34,US,1596333484
Sharlyk,52.92,54.75,292.04,49,0,4.83,RU,1596333484
Roebourne,-20.78,117.13,299.67,21,0,1.32,AU,1596333485
Taltal,-25.4,-70.48,286.01,74,16,2.77,CL,1596333485
Coyhaique,-45.58,-72.07,278.15,80,75,1,CL,1596333286
Sittwe,20.15,92.9,302.23,77,100,1.53,MM,1596333485
Yerbogachën,61.28,108.01,295.02,49,0,5.07,RU,1596333485
Palmer,42.16,-72.33,299.26,65,75,1.5,US,1596333486
Vestmannaeyjar,63.44,-20.27,284.22,93,95,6.53,IS,1596333486
Merrill,45.18,-89.68,297.15,77,40,2.74,US,1596333486
Astorga,-23.23,-51.67,292.15,63,0,3.64,BR,1596333487
Carutapera,-1.2,-46.02,297.44,86,71,2.04,BR,1596333487
Dengzhou,37.81,120.75,297.72,92,100,2.82,CN,1596333312
Ferkessédougou,9.6,-5.2,294.63,94,87,2.81,CI,1596333487
Kibondo,-3.59,30.72,291.28,52,93,1.51,TZ,1596333488
Moctezuma,29.8,-109.67,297.9,68,100,0.57,MX,1596333488
Aquiraz,-3.9,-38.39,299.15,83,71,3.1,BR,1596333489
Zyryanka,65.75,150.85,292.84,43,18,1.04,RU,1596333439
Butajīra,8.12,38.37,287.26,81,93,2.92,ET,1596333489
Ambon City,-3.7,128.18,300.93,88,40,3.1,ID,1596333489
Sobolevo,54.43,31.9,284.66,92,67,4.23,RU,1596333490
Nome,64.5,-165.41,287.15,82,90,5.7,US,1596333275
Walvis Bay,-22.96,14.51,294.26,23,0,6.19,NA,1596333490
Mahébourg,-20.41,57.7,294.15,88,75,8.2,MU,1596333491
Guerrero Negro,27.98,-114.06,298.12,64,0,7.32,MX,1596333491
Creel,27.75,-107.63,291.15,57,4,3.3,MX,1596333491
Petropavlovskoye,52.07,84.11,292.72,63,7,2.69,RU,1596333491
